Flare ID,Start Time,Peak Time,End Time,Class Type,Source Location,Active Region,Linked Events,Instruments,Note
2025-01-01T04:35:00-FLR-001,2025-01-01T04:35Z,2025-01-01T04:45Z,2025-01-01T05:02Z,M1.1,N13W72,13936.0,,GOES-P: EXIS 1.0-8.0,
2025-01-01T15:12:00-FLR-001,2025-01-01T15:12Z,2025-01-01T15:24Z,2025-01-01T15:43Z,M1.0,N13W78,13936.0,,GOES-P: EXIS 1.0-8.0,
2025-01-01T18:05:00-FLR-001,2025-01-01T18:05Z,2025-01-01T18:17Z,2025-01-01T18:28Z,M1.2,N13W79,13936.0,,GOES-P: EXIS 1.0-8.0,
2025-01-01T21:32:00-FLR-001,2025-01-01T21:32Z,2025-01-01T21:41Z,2025-01-01T21:46Z,M1.1,N13W90,13936.0,,GOES-P: EXIS 1.0-8.0,
2025-01-02T17:18:00-FLR-001,2025-01-02T17:18Z,2025-01-02T17:40Z,2025-01-02T17:59Z,M1.1,S11W29,13939.0,{'activityID': '2025-01-02T19:12:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-03T11:29:00-FLR-001,2025-01-03T11:29Z,2025-01-03T11:39Z,2025-01-03T11:49Z,X1.2,N10E64,13947.0,{'activityID': '2025-01-03T12:12:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-03T21:54:00-FLR-001,2025-01-03T21:54Z,2025-01-03T22:12Z,2025-01-03T22:27Z,M2.3,N12E58,13947.0,,GOES-P: EXIS 1.0-8.0,
2025-01-03T22:32:00-FLR-001,2025-01-03T22:32Z,2025-01-03T22:41Z,2025-01-03T22:51Z,X1.1,N11E60,13947.0,{'activityID': '2025-01-03T23:12:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-03T23:14:00-FLR-001,2025-01-03T23:14Z,2025-01-03T23:24Z,2025-01-03T23:33Z,M1.9,N12E59,13947.0,,GOES-P: EXIS 1.0-8.0,
2025-01-03T23:50:00-FLR-001,2025-01-03T23:50Z,2025-01-03T23:56Z,2025-01-04T00:05Z,M5.8,N11E58,13947.0,,GOES-P: EXIS 1.0-8.0,
